Material,Thermal Conductivity (W/m*K),Thermal Diffusivity (mm2/s),Specific Heat Capacity (J/kg*K),Volumetric Specific Heat (MJ/m³K),Thermal Effusivity (Ws0.5/(m2K)),Material Density (kg/m3),Durability (d),Price (c) ($/m^3)
nickel alloy multimet (n-155) (wrought),12.97,3.63,435,3.574,6809.0,8215.0,49.484924,41.640015
cerium sulfide (ces),8.368,4.82,293,1.737,3812.0,5930.0,55.67798,65.67334
gallium (liquid),33.472,13.8,399,2.43,9015.0,6090.0,52.002502,48.615967
zirconium carbide (ZrC) (hp or snt 94d),33.472,15.2,368,2.208,8599.0,6000.0,65.54248,52.923706
cyclohexane  (25 °C),0.11816,0.082124,1859,1.439,34.0,773.97,52.875732,61.018555
vanadium beryllide (VBe12) (85 pc dens),30.962,11.1,1464,2.782,9280.0,1900.0,21.688599,67.59741
pyrex glass,1.13,0.7,728,1.616,1351.0,2220.0,52.824158,59.307617
nickel alloy inconel (wrought  annld),13.305,3.48,452,3.828,7136.0,8470.0,50.737,41.254272
beryllium + beo (Be BeO 0.6-1.7),179.91,53.7,1820,3.349,24546.0,1840.0,54.616272,61.090576
tantalum alloy (Ta62 Nb30 V7.5),27.196,20.1,117,1.351,6067.0,11550.0,60.33728,61.03125
granite (avg prop),2.51,1.13,837,2.218,2359.0,2650.0,48.571716,65.22949
silicone DMS-10,0.11,0.06,1800,1.71,434.0,950.0,50.54663,64.05383
datb h.e. (diamino trinitrobenzene),0.251,0.11,1255,2.253,752.0,1795.0,43.8761,68.58154
cesium,41.84,97.2,230,0.43,4243.0,1870.0,53.756958,22.571533
silicon carbide (SiC) (frit bnd brick),46.024,25.2,678,1.831,9178.0,2700.0,87.472595,51.831055
strontium titanate + co (co 10),4.602,1.67,502,2.761,3565.0,5500.0,46.195923,62.705444
titanium oxide (TiO2) (rutile  a axis),8.786,3.01,686,2.916,5062.0,4250.0,54.91748,73.52161
rattan,4.184,0.52,540,8.1,5820.0,15000.0,25.781067,55.15747
silicon carbide (SiC) (rextal 80-100d),51.882,26.4,678,1.966,10099.0,2900.0,91.93402,50.15332
cerium,10.878,8.32,193,1.31,3771.0,6790.0,60.14691,61.656372
brass aluminum (Cu76 Zn22 Al2),100.42,31.0,377,3.242,18034.0,8600.0,36.80548,45.948853
astitine,0.418,0.4,139,1.043,661.0,7500.0,55.520325,59.70105
polymethyl methacrylate (PMMA),0.209,0.12,1464,1.728,601.0,1180.0,48.466797,63.524414
n-heptane  (25 °C),0.1222,0.08004,2247,1.527,35.0,680.0,54.616272,61.090576
silicon carbide (SiC) (kt grade),179.91,85.6,678,2.102,19443.0,3100.0,65.19702,66.33374
tantalum carbide (TaC),22.175,8.32,190,2.66,7688.0,14000.0,28.38562,36.83972
silver chloride (AgCl) (single crystal),1.134,0.57,356,1.979,1497.0,5560.0,59.34961,83.77075
sapphire - aluminum oxide (Al2O3) (single xtal),43.932,14.2,778,3.096,11665.0,3980.0,50.59015,30.272095
titanium alloy (Ti Bal  Sn4.8  Al4.5),7.531,3.2,523,2.354,4210.0,4500.0,72.077576,60.187256
dysprosium,10.042,6.78,173,1.48,3858.0,8556.0,56.18048,60.282837
beryllium oxide + Be + Si,192.46,63.5,1046,3.033,24162.0,2900.0,56.201416,61.8761
teak wood (across grain),0.172,0.12,2301,1.473,503.0,640.0,54.616272,61.090576
octane  (25 °C),0.12463,0.080089,2228,1.556,35.0,699.0,54.616272,61.090576
vanadium beryllide (VBe12) (85 pc dens),30.962,11.1,1464,2.782,9280.0,1900.0,21.688599,67.59741
teflon reinforced,0.414,0.21,975,1.94,896.0,1990.0,46.959778,65.56384
francium,12.552,7.35,142,1.704,4630.0,12000.0,58.114136,43.13159
tungsten titanium carbide km,59.831,12.3,377,4.863,17049.0,12900.0,24.586609,22.138062
cesium,41.84,97.2,230,0.43,4243.0,1870.0,53.756958,22.571533
potassium alum (K2SO4.Al2(SO4)3.24H2O),2.092,0.75,1548,2.786,2414.0,1800.0,41.35724,68.708496
titanium alloy (Ti Bal V15 Al2.8),8.368,3.31,527,2.53,4602.0,4800.0,71.63214,59.301636
cesium (liquid),25.104,54.4,251,0.462,3405.0,1840.0,62.96466,38.001465
titanium,20.92,8.89,523,2.354,7017.0,4500.0,86.97821,45.1687
porcelain ordinary,2.092,0.82,753,2.56,2314.0,3400.0,42.199707,66.715576
solder - tin alloy (Pb39.2  Sn60.8),50.208,30.0,197,1.675,9160.0,8500.0,66.29523,62.33252
magnesium alloy az855(x) (wrought),79.496,43.1,1025,1.845,12111.0,1800.0,61.89807,59.569824
nickel alloy a (Ni99.4) (annealed),66.944,17.1,439,3.903,16169.0,8890.0,34.717896,20.722778
alumina brick (Al2O3 53) (20 p),1.381,0.79,753,1.754,1557.0,2330.0,51.85388,61.47534
thallium (liquid),24.686,14.5,151,1.705,6479.0,11290.0,50.02942,50.265625
baratol h.e. (tnt 26 ba nitrate 76),0.495,0.24,803,2.088,1017.0,2600.0,45.162903,65.59778
manganese telluride (95mnte.5mnas),1.255,0.55,402,2.291,1695.0,5700.0,56.14337,70.28894
polyvinyl tpx-r,0.167,0.09,2176,1.806,550.0,830.0,53.89801,61.61731
calcium,125.52,123.0,657,1.018,11305.0,1550.0,59.453247,42.61792
titanium carbide cermet k162b,19.246,5.9,544,3.264,7925.0,6000.0,47.560303,39.187256
uranium oxide (UO2) (single crystal),10.46,3.93,243,2.663,5275.0,10960.0,39.223083,40.099
n-heptane  (25 °C),0.1222,0.08004,2247,1.527,35.0,680.0,54.616272,61.090576
palladium,76.149,27.5,243,2.77,14515.0,11400.0,28.464111,47.7583
molybdenum carbide (Mo2C),20.92,6.69,347,3.123,8086.0,9000.0,34.99414,40.16394
hydrogen (gas),0.186,145.0,14230,0.001,15.0,0.0899,81.98407,83.23926
titanium alloy (Ti Bal Al4 Cu4 Sn2),7.95,3.38,523,2.354,4325.0,4500.0,72.96484,59.731445
parafin oil,0.151,0.09,1970,1.576,488.0,800.0,52.618103,62.556152
aluminum alloy (Al98.0 average trtmt),188.28,79.4,879,2.373,21134.0,2700.0,63.57086,65.52771
polyimide h-film kapton,1.13,0.7,1130,1.605,1346.0,1420.0,50.711426,60.372925
indium telluride (In2Te3),1.255,1.35,201,0.93,1080.0,4629.0,54.614258,54.670166
olive oil,0.171,0.09,1970,1.812,557.0,920.0,51.621338,63.286987
melamine glass fiber filled (mst 205),0.481,0.15,1674,3.181,1237.0,1900.0,44.911255,72.208984
cobalt oxide (CoO),10.042,2.21,703,4.541,6753.0,6460.0,33.870422,61.610962
titanium alloy (Ti Bal Al4 V3 Mo1.5),7.95,3.25,544,2.448,4411.0,4500.0,71.76807,59.351074
titanium carbide cermet k163b1,19.665,5.74,544,3.427,8209.0,6300.0,48.757446,36.810425
dolomite brick stabilized (22 p),1.674,0.74,837,2.26,1945.0,2700.0,45.282898,65.35083
titanium carbide cermet k138a,26.359,8.65,544,3.046,8960.0,5600.0,51.461426,30.963501
niobium beryllide (NbBe12) (hp  93-97d),23.012,7.44,1105,3.094,8438.0,2800.0,35.264526,70.958496
cobalt alloy k-42b,12.552,3.57,418,3.511,6642.0,8400.0,48.117126,42.506348
magnesium alloy zre0 (ez30) (casting),100.42,54.4,1025,1.845,13612.0,1800.0,62.55945,62.956787
tetryl h.e.,0.286,0.13,1255,2.146,783.0,1710.0,44.92993,67.650635
gypsum - calcium sulfate dihydrate (CaSO4.4H2O),1.297,0.51,1088,2.524,1809.0,2320.0,42.670654,70.20276
ethyl cellulose (wide range of c  k),0.23,0.1,2092,2.406,744.0,1150.0,52.282593,64.107056
bronze manganese,104.6,33.2,377,3.152,18147.0,8360.0,40.266235,48.012695
magnesium (liquid),83.68,39.8,1339,2.102,13263.0,1570.0,58.500916,63.015503
bismuth telluride sulfide (Bi2Te2S),2.385,2.0,176,1.197,1688.0,6800.0,55.18451,59.949097
beryllium copper (Cu Bal Be 0.38-0.55),220.08,63.3,398,3.483,27667.0,8750.0,54.851562,56.211548
arsenic telluride (As2Te3) (v zone mlt),2.594,1.85,234,1.404,1910.0,6000.0,54.745667,60.56909
steel stainless hu (cast),15.481,4.19,460,3.694,7564.0,8030.0,50.440063,37.21924
polyurethane rubber elastomer l-100,0.293,0.14,1674,2.093,783.0,1250.0,47.358704,66.41321
chromium silicide (CrSi2),7.95,3.22,494,2.47,4430.0,5000.0,70.44055,62.819946
samarium,12.552,9.3,180,1.35,4115.0,7500.0,59.315308,62.093384
chromium nitride (Cr2N),22.594,5.54,628,4.082,9601.0,6500.0,43.919983,37.87793
copy paper,0.0904,0.08771,1260,1.031,305.0,818.0,53.56891,52.325195
polypropylene copolymer,0.126,0.06,2343,2.132,517.0,910.0,55.97345,62.285645
silver chloride (AgCl) (single crystal),1.134,0.57,356,1.979,1497.0,5560.0,59.34961,83.77075
europium,12.552,13.5,176,0.933,3419.0,5300.0,69.31702,58.850464
copper wrought,376.56,112.0,377,3.355,35526.0,8900.0,54.616272,61.090576
barium titanate (BaO.TiO2) (sintered),3.389,1.31,439,2.59,2964.0,5900.0,51.92389,60.585327
titanium alloy hylite 60 (imi),7.531,3.1,523,2.432,4280.0,4650.0,70.78302,60.485962
magnesium alloy ek33a  h811 (casting),104.6,55.8,1025,1.876,14007.0,1830.0,62.904175,64.04541
hafnium,22.175,11.8,142,1.874,6454.0,13200.0,46.153137,41.90686
mock h.e. rm-04-bg (lx-04-1 mech mock),0.115,0.06,962,1.799,454.0,1870.0,47.959595,64.323975
propane,0.13,0.097,2140,1.243,417.4,581.0,54.48761,60.012817
etbe (ethyl tert-butyl ether),0.14,0.0824,2207,1.699,487.7,770.0,54.616272,61.090576
iron ingot (fe99.9+),71.128,20.2,448,3.526,15831.0,7870.0,36.37329,28.988037
tungsten,196.65,76.1,134,2.586,22543.0,19300.0,30.480957,69.44995
hafnium boride (HfB2),41.84,14.9,251,2.811,10845.0,11200.0,26.500427,42.13745
niobium alloy (Nb85 Ti10 Zr5),29.288,14.8,255,1.981,7621.0,7770.0,50.188232,52.091187
aluminum alloy 7075-t6 (as received),121.34,51.8,837,2.344,16864.0,2801.0,62.129944,64.81372
beryllium copper (Cu Bal Be 0.38-0.55),220.08,63.3,398,3.483,27667.0,8750.0,54.851562,56.211548
samarium boride (SmB6) (96.8 pc dense),13.807,4.49,628,3.077,6516.0,4900.0,45.146362,59.445557
Fibrous glass board (NIST 1450d),0.0325,0.2323,1093,0.14,67.0,128.0,52.354797,42.16565
alumina brick (Al2O3 83) (28 p),1.506,0.78,753,1.935,1707.0,2570.0,50.264893,63.715332
oak red black wood (across grain),0.146,0.1,2385,1.455,462.0,610.0,54.616272,61.090576
steel multimet (n-155) (wrought),12.97,3.63,435,3.574,6809.0,8215.0,49.484924,41.640015
magnesium alloy ek41a(t5 t6) (casting),100.42,54.1,1025,1.855,13649.0,1810.0,62.55017,63.102295
phenolic molded (low density  k),0.172,0.11,1255,1.556,517.0,1240.0,50.217285,60.4386
lx-07 h.e. (hmx 90 viton a 10),0.502,0.26,1049,1.962,992.0,1870.0,46.770813,65.68042
boron nitride (Bn 80 C 20) (prs axis),19.037,14.8,795,1.288,4952.0,1620.0,66.49756,49.626953
magnesium alloy ek30a  h812 (casting),104.6,57.0,1025,1.835,13853.0,1790.0,62.950012,63.406372
colombium alloy (Cb85 Ti10 Zr5),29.288,14.8,255,1.981,7621.0,7770.0,50.188232,52.091187
cobalt alloy v-36 (wrought),12.552,3.49,418,3.595,6720.0,8600.0,48.170044,42.552734
nickel alloy inconel 600 (annealed),15.062,3.89,456,3.867,7633.0,8480.0,50.447693,37.952637
tantalum carbide + wc cermet k601,66.944,20.9,209,3.198,14638.0,15300.0,20.122375,50.488037
nitrogen (gas),0.026,19.6,1042,0.001,6.0,1.251,51.749207,37.098877
uranium oxide (U3O8) (prsd at 4200 psi),0.544,0.24,276,2.291,1116.0,8300.0,73.82861,46.47119
copper alloy - cupronickel (Cu70 Ni30),29.288,8.74,377,3.355,9908.0,8900.0,39.08972,29.79004
magnesium alloy zk51a  h807 (casting),110.88,60.0,1021,1.848,14315.0,1810.0,63.523376,64.54443
pyrex glass,1.13,0.7,728,1.616,1351.0,2220.0,52.824158,59.307617
americium,12.552,8.55,126,1.474,4293.0,11700.0,65.09198,49.49646
polypropylene copolymer,0.126,0.06,2343,2.132,517.0,910.0,55.97345,62.285645
urea-formaldehyde  molded,0.126,0.05,1674,2.511,561.0,1500.0,47.077087,66.61987
cobalt alloy multimet (n-155) (wrought),12.97,3.63,435,3.574,6809.0,8215.0,49.484924,41.640015
uranium carbide (UC) (sintered 90d),17.364,6.96,203,2.497,6583.0,12300.0,33.9588,37.524048
cobalt silicide (cos),9.623,2.49,586,3.868,6100.0,6600.0,42.45929,57.51367
beryllium oxide + Be + Mo (Be 7 Mo 7),158.99,51.5,1038,3.088,22158.0,2975.0,54.715027,61.139526
kerosene,0.13,0.3476,2000,1.64,220.5,820.0,52.59326,62.57434
beryllium alloy (Be96.5) (annealed),175.73,53.1,1799,3.31,24118.0,1840.0,54.616272,61.090576
melamine fabric or flock filled,0.444,0.17,1674,2.544,1062.0,1520.0,47.014526,66.66565
steel  stainless 446,22.928,6.56,460,3.496,8955.0,7600.0,49.14453,28.737549
polyurethane foamed-in-place  (rigid),0.032,0.49,1674,0.067,47.0,40.0,52.5719,43.981934
iron  ductile (0.06 mg),33.472,9.79,460,3.418,10698.0,7430.0,48.43976,21.56372
pyrophyllite (parallel to bedding),4.77,2.04,837,2.344,3343.0,2800.0,52.067932,64.82678
astitine,0.418,0.4,139,1.043,661.0,7500.0,55.520325,59.70105
lithium hydride (LiH),7.322,2.5,4184,2.929,4631.0,700.0,18.072388,66.387695
tungsten carbide cermet k801 (WC + Ni),82.006,26.5,209,3.093,15934.0,14800.0,20.586914,52.042236
molybdenum nitride (Mo2N),17.154,6.93,310,2.48,6518.0,8000.0,39.64679,49.954956
beta-spodumene (Li2O.Al2O3.4SiO2) (tet),1.046,0.27,1255,3.891,2017.0,3100.0,34.381958,84.65808
nickel alloy monel  kr (annealed),18.828,5.07,439,3.71,8360.0,8450.0,47.583435,32.46045
calcium fluoride (CaF2) (mineral aggr),4.017,1.08,1167,3.711,3861.0,3180.0,24.400513,86.532715
polyallomer,0.126,0.07,2092,1.883,486.0,900.0,52.646545,62.53528
potassium ferrocyanide (K4Fe(Cn)6.3H2O),1.715,0.82,1130,2.091,1894.0,1850.0,46.388794,66.36548
rubber  dielectric mix,0.209,0.09,2092,2.301,694.0,1100.0,52.006958,63.57715
iron grey cast ferritic (2.3-3.0 c),50.208,15.2,460,3.307,12889.0,7190.0,46.265015,19.951782
tungsten titanium carbide k86  k7h  k3h,28.033,6.71,377,4.185,10825.0,11100.0,38.653076,23.232788
mock h.e. lm-04-0 h7-048-a522.1,0.527,0.28,1109,1.885,997.0,1700.0,47.561584,64.61218
acetone (propanone) (25 °C),0.1535,0.09128,2129,1.682,46.0,790.0,53.73059,61.740112
cobalt alloy hs-30 (422-19) (as cast),12.552,3.61,418,3.474,6606.0,8310.0,47.875427,42.69409
propane,0.13,0.097,2140,1.243,417.4,581.0,54.48761,60.012817
bismuth telluride sulfide (Bi2Te2S),2.385,2.0,176,1.197,1688.0,6800.0,55.18451,59.949097
manganin (Cu84 Ni4 Mn12),22.175,6.77,377,3.28,8524.0,8700.0,39.476624,35.306274
titanium alloy (Ti Bal  Al8  Mo1  v1),5.858,2.46,544,2.377,3731.0,4370.0,66.52557,59.93689
titanium alloy (Ti Bal  Al6  V4),7.113,3.06,523,2.327,4069.0,4450.0,71.13989,60.315674
tungsten carbide cermet k94 and k1,91.63,31.1,209,2.947,16440.0,14100.0,22.428162,52.398315
yttrium oxide (Y2O3) (96-100 pc dense),14.226,6.36,448,2.24,5643.0,5000.0,77.60669,54.845215
cadmium (liquid),34.727,16.5,264,2.112,8558.0,8000.0,42.133057,49.022827
lithium,71.128,38.2,3515,1.863,11511.0,530.0,46.263733,48.2041
lx-07 h.e. (hmx 90 viton a 10),0.502,0.26,1049,1.962,992.0,1870.0,46.770813,65.68042
cobalt alloy s-816 (wrought),12.97,3.57,418,3.628,6863.0,8680.0,47.96411,41.82068
r410a,0.17,0.0921,1368,1.847,560.2,1350.0,47.28827,64.81555
bronze phospher 5 percent,71.128,21.3,377,3.34,15406.0,8860.0,34.12567,35.553955
neodymium boride (NdB6) (97.3 pc dense),47.279,15.7,628,3.014,11934.0,4800.0,48.996826,25.743896
polyvinylidene chloride film,0.126,0.06,1339,2.25,531.0,1680.0,44.133667,68.51257
vermiculite insulating powder,0.121,0.54,837,0.226,166.0,270.0,52.374756,42.33252
gold,317.98,129.0,128,2.47,28027.0,19300.0,54.616272,61.090576
potassium bromide (KBr 75  KCl 25),2.092,1.72,477,1.216,1595.0,2550.0,54.358032,54.67505
zirconium beryllide (ZrBe13),39.748,12.7,1138,3.13,11153.0,2750.0,31.624573,53.8042
plutonium phosphide (PuP) (90 pc dense),5.439,2.39,230,2.275,3518.0,9890.0,56.151062,45.284912
strontium titanate (SrO.TiO2) (80 d),2.594,1.21,536,2.144,2357.0,4000.0,51.493103,67.05444
chrome brick (Cr2O3 32),1.172,0.58,628,2.01,1534.0,3200.0,49.986572,63.998413
arsenic  grey,4.184,2.21,331,1.897,2815.0,5730.0,58.899902,79.57898
polyvinyl carbazole,0.155,0.1,1297,1.53,487.0,1180.0,50.439087,60.12671
tungsten carbide cermet k701,53.974,18.4,209,2.926,12573.0,14000.0,23.085205,46.218994
neodymium,12.97,9.43,197,1.379,4225.0,7000.0,60.341125,62.23535
cork ground regranulated,0.045,0.17,2008,0.261,108.0,130.0,53.160156,48.90454
protactinium,12.552,7.11,115,1.771,4707.0,15400.0,58.60797,37.21106
lithium hydride (lih) (cast gas voids),12.97,4.43,4184,2.929,6163.0,700.0,8.793579,57.87622
