Material,Thermal Conductivity (W/m*K),Thermal Diffusivity (mm2/s),Specific Heat Capacity (J/kg*K),Volumetric Specific Heat (MJ/m³K),Thermal Effusivity (Ws0.5/(m2K)),Material Density (kg/m3),Durability (d),Price (c) ($/m^3),Material_encoded,Thickness,Weight,Cost
iron sulfide (FeS2) (single crystal),37.9070,13.6000,557,2.7850,10270.0000,5000.0000,59.3034,31.0298,314,0.0100,50.0000,0.3103
iron sulfide (FeS2) (single crystal),37.9070,13.6000,557,2.7850,10270.0000,5000.0000,59.3034,31.0298,314,0.0325,162.5000,1.0085
iron sulfide (FeS2) (single crystal),37.9070,13.6000,557,2.7850,10270.0000,5000.0000,59.3034,31.0298,314,0.0550,275.0000,1.7066
iron sulfide (FeS2) (single crystal),37.9070,13.6000,557,2.7850,10270.0000,5000.0000,59.3034,31.0298,314,0.0775,387.5000,2.4048
iron sulfide (FeS2) (single crystal),37.9070,13.6000,557,2.7850,10270.0000,5000.0000,59.3034,31.0298,314,0.1000,500.0000,3.1030
iron sulfide (FeS2) (single crystal),37.9070,13.6000,557,2.7850,10270.0000,5000.0000,59.3034,31.0298,314,909.7680,4548840.0000,28229.9054
iron sulfide (FeS2) (single crystal),37.9070,13.6000,557,2.7850,10270.0000,5000.0000,59.3034,31.0298,314,631.7833,3158916.6667,19604.1010
steel carbon type 1020 (0.2 - 0.6 c),71.1280,19.7000,460,3.6160,16040.0000,7860.0000,35.5378,27.2334,698,0.0100,78.6000,0.2723
steel carbon type 1020 (0.2 - 0.6 c),71.1280,19.7000,460,3.6160,16040.0000,7860.0000,35.5378,27.2334,698,0.0325,255.4500,0.8851
steel carbon type 1020 (0.2 - 0.6 c),71.1280,19.7000,460,3.6160,16040.0000,7860.0000,35.5378,27.2334,698,0.0550,432.3000,1.4978
steel carbon type 1020 (0.2 - 0.6 c),71.1280,19.7000,460,3.6160,16040.0000,7860.0000,35.5378,27.2334,698,0.0775,609.1500,2.1106
steel carbon type 1020 (0.2 - 0.6 c),71.1280,19.7000,460,3.6160,16040.0000,7860.0000,35.5378,27.2334,698,0.1000,786.0000,2.7233
steel carbon type 1020 (0.2 - 0.6 c),71.1280,19.7000,460,3.6160,16040.0000,7860.0000,35.5378,27.2334,698,1707.0720,13417585.9200,46489.3712
steel carbon type 1020 (0.2 - 0.6 c),71.1280,19.7000,460,3.6160,16040.0000,7860.0000,35.5378,27.2334,698,1185.4667,9317768.0000,32284.2855
uranium oxide (U3O8) (prsd at 4200 psi),0.5440,0.2400,276,2.2910,1116.0000,8300.0000,73.8286,46.4712,857,0.0100,83.0000,0.4647
uranium oxide (U3O8) (prsd at 4200 psi),0.5440,0.2400,276,2.2910,1116.0000,8300.0000,73.8286,46.4712,857,0.0325,269.7500,1.5103
uranium oxide (U3O8) (prsd at 4200 psi),0.5440,0.2400,276,2.2910,1116.0000,8300.0000,73.8286,46.4712,857,0.0550,456.5000,2.5559
uranium oxide (U3O8) (prsd at 4200 psi),0.5440,0.2400,276,2.2910,1116.0000,8300.0000,73.8286,46.4712,857,0.0775,643.2500,3.6015
uranium oxide (U3O8) (prsd at 4200 psi),0.5440,0.2400,276,2.2910,1116.0000,8300.0000,73.8286,46.4712,857,0.1000,830.0000,4.6471
uranium oxide (U3O8) (prsd at 4200 psi),0.5440,0.2400,276,2.2910,1116.0000,8300.0000,73.8286,46.4712,857,13.0560,108364.8000,606.7279
uranium oxide (U3O8) (prsd at 4200 psi),0.5440,0.2400,276,2.2910,1116.0000,8300.0000,73.8286,46.4712,857,9.0667,75253.3333,421.3388
mica insulating powder,0.1210,0.4400,837,0.2760,183.0000,330.0000,52.4464,42.9321,425,0.0100,3.3000,0.4293
mica insulating powder,0.1210,0.4400,837,0.2760,183.0000,330.0000,52.4464,42.9321,425,0.0325,10.7250,1.3953
mica insulating powder,0.1210,0.4400,837,0.2760,183.0000,330.0000,52.4464,42.9321,425,0.0550,18.1500,2.3613
mica insulating powder,0.1210,0.4400,837,0.2760,183.0000,330.0000,52.4464,42.9321,425,0.0775,25.5750,3.3272
mica insulating powder,0.1210,0.4400,837,0.2760,183.0000,330.0000,52.4464,42.9321,425,0.1000,33.0000,4.2932
mica insulating powder,0.1210,0.4400,837,0.2760,183.0000,330.0000,52.4464,42.9321,425,2.9040,958.3200,124.6749
mica insulating powder,0.1210,0.4400,837,0.2760,183.0000,330.0000,52.4464,42.9321,425,2.0167,665.5000,86.5798
alumina brick (Al2O3 53) (20 p),1.3810,0.7900,753,1.7540,1557.0000,2330.0000,51.8539,61.4753,13,0.0100,23.3000,0.6148
alumina brick (Al2O3 53) (20 p),1.3810,0.7900,753,1.7540,1557.0000,2330.0000,51.8539,61.4753,13,0.0325,75.7250,1.9979
alumina brick (Al2O3 53) (20 p),1.3810,0.7900,753,1.7540,1557.0000,2330.0000,51.8539,61.4753,13,0.0550,128.1500,3.3811
alumina brick (Al2O3 53) (20 p),1.3810,0.7900,753,1.7540,1557.0000,2330.0000,51.8539,61.4753,13,0.0775,180.5750,4.7643
alumina brick (Al2O3 53) (20 p),1.3810,0.7900,753,1.7540,1557.0000,2330.0000,51.8539,61.4753,13,0.1000,233.0000,6.1475
alumina brick (Al2O3 53) (20 p),1.3810,0.7900,753,1.7540,1557.0000,2330.0000,51.8539,61.4753,13,33.1440,77225.5200,2037.5387
alumina brick (Al2O3 53) (20 p),1.3810,0.7900,753,1.7540,1557.0000,2330.0000,51.8539,61.4753,13,23.0167,53628.8333,1414.9574
magnesium oxide (MgO) (polyxtal 100 d),61.9230,18.8000,921,3.2970,14285.0000,3580.0000,28.1385,33.3778,396,0.0100,35.8000,0.3338
magnesium oxide (MgO) (polyxtal 100 d),61.9230,18.8000,921,3.2970,14285.0000,3580.0000,28.1385,33.3778,396,0.0325,116.3500,1.0848
magnesium oxide (MgO) (polyxtal 100 d),61.9230,18.8000,921,3.2970,14285.0000,3580.0000,28.1385,33.3778,396,0.0550,196.9000,1.8358
magnesium oxide (MgO) (polyxtal 100 d),61.9230,18.8000,921,3.2970,14285.0000,3580.0000,28.1385,33.3778,396,0.0775,277.4500,2.5868
magnesium oxide (MgO) (polyxtal 100 d),61.9230,18.8000,921,3.2970,14285.0000,3580.0000,28.1385,33.3778,396,0.1000,358.0000,3.3378
magnesium oxide (MgO) (polyxtal 100 d),61.9230,18.8000,921,3.2970,14285.0000,3580.0000,28.1385,33.3778,396,1486.1520,5320424.1600,49604.4961
magnesium oxide (MgO) (polyxtal 100 d),61.9230,18.8000,921,3.2970,14285.0000,3580.0000,28.1385,33.3778,396,1032.0500,3694739.0000,34447.5667
zirconium oxide (ZrO2) (monoc.  100 d),1.8490,0.7300,456,2.5350,2166.0000,5560.0000,50.0732,60.9813,908,0.0100,55.6000,0.6098
zirconium oxide (ZrO2) (monoc.  100 d),1.8490,0.7300,456,2.5350,2166.0000,5560.0000,50.0732,60.9813,908,0.0325,180.7000,1.9819
zirconium oxide (ZrO2) (monoc.  100 d),1.8490,0.7300,456,2.5350,2166.0000,5560.0000,50.0732,60.9813,908,0.0550,305.8000,3.3540
zirconium oxide (ZrO2) (monoc.  100 d),1.8490,0.7300,456,2.5350,2166.0000,5560.0000,50.0732,60.9813,908,0.0775,430.9000,4.7261
zirconium oxide (ZrO2) (monoc.  100 d),1.8490,0.7300,456,2.5350,2166.0000,5560.0000,50.0732,60.9813,908,0.1000,556.0000,6.0981
zirconium oxide (ZrO2) (monoc.  100 d),1.8490,0.7300,456,2.5350,2166.0000,5560.0000,50.0732,60.9813,908,44.3760,246730.5600,2706.1072
zirconium oxide (ZrO2) (monoc.  100 d),1.8490,0.7300,456,2.5350,2166.0000,5560.0000,50.0732,60.9813,908,30.8167,171340.6667,1879.2411
uranium,26.4430,11.8000,117,2.2350,7694.0000,19100.0000,46.0941,39.8542,840,0.0100,191.0000,0.3985
uranium,26.4430,11.8000,117,2.2350,7694.0000,19100.0000,46.0941,39.8542,840,0.0325,620.7500,1.2953
uranium,26.4430,11.8000,117,2.2350,7694.0000,19100.0000,46.0941,39.8542,840,0.0550,1050.5000,2.1920
uranium,26.4430,11.8000,117,2.2350,7694.0000,19100.0000,46.0941,39.8542,840,0.0775,1480.2500,3.0887
uranium,26.4430,11.8000,117,2.2350,7694.0000,19100.0000,46.0941,39.8542,840,0.1000,1910.0000,3.9854
uranium,26.4430,11.8000,117,2.2350,7694.0000,19100.0000,46.0941,39.8542,840,634.6320,12121471.2000,25292.7811
uranium,26.4430,11.8000,117,2.2350,7694.0000,19100.0000,46.0941,39.8542,840,440.7167,8417688.3333,17564.4313
silver chloride (AgCl) (single crystal),1.1340,0.5700,356,1.9790,1497.0000,5560.0000,59.3496,83.7708,671,0.0100,55.6000,0.8377
silver chloride (AgCl) (single crystal),1.1340,0.5700,356,1.9790,1497.0000,5560.0000,59.3496,83.7708,671,0.0325,180.7000,2.7225
silver chloride (AgCl) (single crystal),1.1340,0.5700,356,1.9790,1497.0000,5560.0000,59.3496,83.7708,671,0.0550,305.8000,4.6074
silver chloride (AgCl) (single crystal),1.1340,0.5700,356,1.9790,1497.0000,5560.0000,59.3496,83.7708,671,0.0775,430.9000,6.4922
silver chloride (AgCl) (single crystal),1.1340,0.5700,356,1.9790,1497.0000,5560.0000,59.3496,83.7708,671,0.1000,556.0000,8.3771
silver chloride (AgCl) (single crystal),1.1340,0.5700,356,1.9790,1497.0000,5560.0000,59.3496,83.7708,671,27.2160,151320.9600,2279.9047
silver chloride (AgCl) (single crystal),1.1340,0.5700,356,1.9790,1497.0000,5560.0000,59.3496,83.7708,671,18.9000,105084.0000,1583.2672
brass tin (naval and admiralty),112.9700,35.5000,377,3.1890,18972.0000,8460.0000,40.8185,49.7045,103,0.0100,84.6000,0.4970
brass tin (naval and admiralty),112.9700,35.5000,377,3.1890,18972.0000,8460.0000,40.8185,49.7045,103,0.0325,274.9500,1.6154
brass tin (naval and admiralty),112.9700,35.5000,377,3.1890,18972.0000,8460.0000,40.8185,49.7045,103,0.0550,465.3000,2.7337
brass tin (naval and admiralty),112.9700,35.5000,377,3.1890,18972.0000,8460.0000,40.8185,49.7045,103,0.0775,655.6500,3.8521
brass tin (naval and admiralty),112.9700,35.5000,377,3.1890,18972.0000,8460.0000,40.8185,49.7045,103,0.1000,846.0000,4.9704
brass tin (naval and admiralty),112.9700,35.5000,377,3.1890,18972.0000,8460.0000,40.8185,49.7045,103,2711.2800,22937428.8000,134762.7300
brass tin (naval and admiralty),112.9700,35.5000,377,3.1890,18972.0000,8460.0000,40.8185,49.7045,103,1882.8333,15928770.0000,93585.2292
rhodium,150.6200,50.1000,243,3.0130,21291.0000,12400.0000,38.5568,62.4852,620,0.0100,124.0000,0.6249
rhodium,150.6200,50.1000,243,3.0130,21291.0000,12400.0000,38.5568,62.4852,620,0.0325,403.0000,2.0308
rhodium,150.6200,50.1000,243,3.0130,21291.0000,12400.0000,38.5568,62.4852,620,0.0550,682.0000,3.4367
rhodium,150.6200,50.1000,243,3.0130,21291.0000,12400.0000,38.5568,62.4852,620,0.0775,961.0000,4.8426
rhodium,150.6200,50.1000,243,3.0130,21291.0000,12400.0000,38.5568,62.4852,620,0.1000,1240.0000,6.2485
rhodium,150.6200,50.1000,243,3.0130,21291.0000,12400.0000,38.5568,62.4852,620,3614.8800,44824512.0000,225876.6082
rhodium,150.6200,50.1000,243,3.0130,21291.0000,12400.0000,38.5568,62.4852,620,2510.3333,31128133.3333,156858.7557
zinc antimonide (ZnSb),2.3430,1.3700,272,1.7140,2004.0000,6300.0000,58.7258,78.8275,893,0.0100,63.0000,0.7883
zinc antimonide (ZnSb),2.3430,1.3700,272,1.7140,2004.0000,6300.0000,58.7258,78.8275,893,0.0325,204.7500,2.5619
zinc antimonide (ZnSb),2.3430,1.3700,272,1.7140,2004.0000,6300.0000,58.7258,78.8275,893,0.0550,346.5000,4.3355
zinc antimonide (ZnSb),2.3430,1.3700,272,1.7140,2004.0000,6300.0000,58.7258,78.8275,893,0.0775,488.2500,6.1091
zinc antimonide (ZnSb),2.3430,1.3700,272,1.7140,2004.0000,6300.0000,58.7258,78.8275,893,0.1000,630.0000,7.8828
zinc antimonide (ZnSb),2.3430,1.3700,272,1.7140,2004.0000,6300.0000,58.7258,78.8275,893,56.2320,354261.6000,4432.6288
zinc antimonide (ZnSb),2.3430,1.3700,272,1.7140,2004.0000,6300.0000,58.7258,78.8275,893,39.0500,246015.0000,3078.2145
soil clay (wet),1.5060,0.3400,2929,4.3940,2572.0000,1500.0000,42.3157,81.5487,684,0.0100,15.0000,0.8155
soil clay (wet),1.5060,0.3400,2929,4.3940,2572.0000,1500.0000,42.3157,81.5487,684,0.0325,48.7500,2.6503
soil clay (wet),1.5060,0.3400,2929,4.3940,2572.0000,1500.0000,42.3157,81.5487,684,0.0550,82.5000,4.4852
soil clay (wet),1.5060,0.3400,2929,4.3940,2572.0000,1500.0000,42.3157,81.5487,684,0.0775,116.2500,6.3200
soil clay (wet),1.5060,0.3400,2929,4.3940,2572.0000,1500.0000,42.3157,81.5487,684,0.1000,150.0000,8.1549
soil clay (wet),1.5060,0.3400,2929,4.3940,2572.0000,1500.0000,42.3157,81.5487,684,36.1440,54216.0000,2947.4964
soil clay (wet),1.5060,0.3400,2929,4.3940,2572.0000,1500.0000,42.3157,81.5487,684,25.1000,37650.0000,2046.8725
soil (av props),0.8370,0.6200,1046,1.3600,1067.0000,1300.0000,53.0565,56.1171,683,0.0100,13.0000,0.5612
soil (av props),0.8370,0.6200,1046,1.3600,1067.0000,1300.0000,53.0565,56.1171,683,0.0325,42.2500,1.8238
soil (av props),0.8370,0.6200,1046,1.3600,1067.0000,1300.0000,53.0565,56.1171,683,0.0550,71.5000,3.0864
soil (av props),0.8370,0.6200,1046,1.3600,1067.0000,1300.0000,53.0565,56.1171,683,0.0775,100.7500,4.3491
soil (av props),0.8370,0.6200,1046,1.3600,1067.0000,1300.0000,53.0565,56.1171,683,0.1000,130.0000,5.6117
soil (av props),0.8370,0.6200,1046,1.3600,1067.0000,1300.0000,53.0565,56.1171,683,20.0880,26114.4000,1127.2796
soil (av props),0.8370,0.6200,1046,1.3600,1067.0000,1300.0000,53.0565,56.1171,683,13.9500,18135.0000,782.8331
etbe (ethyl tert-butyl ether),0.1400,0.0824,2207,1.6990,487.7000,770.0000,54.6163,61.0906,235,0.0100,7.7000,0.6109
etbe (ethyl tert-butyl ether),0.1400,0.0824,2207,1.6990,487.7000,770.0000,54.6163,61.0906,235,0.0325,25.0250,1.9854
etbe (ethyl tert-butyl ether),0.1400,0.0824,2207,1.6990,487.7000,770.0000,54.6163,61.0906,235,0.0550,42.3500,3.3600
etbe (ethyl tert-butyl ether),0.1400,0.0824,2207,1.6990,487.7000,770.0000,54.6163,61.0906,235,0.0775,59.6750,4.7345
etbe (ethyl tert-butyl ether),0.1400,0.0824,2207,1.6990,487.7000,770.0000,54.6163,61.0906,235,0.1000,77.0000,6.1091
etbe (ethyl tert-butyl ether),0.1400,0.0824,2207,1.6990,487.7000,770.0000,54.6163,61.0906,235,3.3600,2587.2000,205.2643
etbe (ethyl tert-butyl ether),0.1400,0.0824,2207,1.6990,487.7000,770.0000,54.6163,61.0906,235,2.3333,1796.6667,142.5447
aluminum alloy 7075-t6 (as received),121.3400,51.8000,837,2.3440,16864.0000,2801.0000,62.1299,64.8137,38,0.0100,28.0100,0.6481
aluminum alloy 7075-t6 (as received),121.3400,51.8000,837,2.3440,16864.0000,2801.0000,62.1299,64.8137,38,0.0325,91.0325,2.1064
aluminum alloy 7075-t6 (as received),121.3400,51.8000,837,2.3440,16864.0000,2801.0000,62.1299,64.8137,38,0.0550,154.0550,3.5648
aluminum alloy 7075-t6 (as received),121.3400,51.8000,837,2.3440,16864.0000,2801.0000,62.1299,64.8137,38,0.0775,217.0775,5.0231
aluminum alloy 7075-t6 (as received),121.3400,51.8000,837,2.3440,16864.0000,2801.0000,62.1299,64.8137,38,0.1000,280.1000,6.4814
aluminum alloy 7075-t6 (as received),121.3400,51.8000,837,2.3440,16864.0000,2801.0000,62.1299,64.8137,38,2912.1600,8156960.1600,188747.9228
aluminum alloy 7075-t6 (as received),121.3400,51.8000,837,2.3440,16864.0000,2801.0000,62.1299,64.8137,38,2022.3333,5664555.6667,131074.9464
zirconium alloys zircalloy 2 and 3,13.8070,7.1900,293,1.9220,5151.0000,6560.0000,70.3111,59.3513,901,0.0100,65.6000,0.5935
zirconium alloys zircalloy 2 and 3,13.8070,7.1900,293,1.9220,5151.0000,6560.0000,70.3111,59.3513,901,0.0325,213.2000,1.9289
zirconium alloys zircalloy 2 and 3,13.8070,7.1900,293,1.9220,5151.0000,6560.0000,70.3111,59.3513,901,0.0550,360.8000,3.2643
zirconium alloys zircalloy 2 and 3,13.8070,7.1900,293,1.9220,5151.0000,6560.0000,70.3111,59.3513,901,0.0775,508.4000,4.5997
zirconium alloys zircalloy 2 and 3,13.8070,7.1900,293,1.9220,5151.0000,6560.0000,70.3111,59.3513,901,0.1000,656.0000,5.9351
zirconium alloys zircalloy 2 and 3,13.8070,7.1900,293,1.9220,5151.0000,6560.0000,70.3111,59.3513,901,331.3680,2173774.0800,19667.1282
zirconium alloys zircalloy 2 and 3,13.8070,7.1900,293,1.9220,5151.0000,6560.0000,70.3111,59.3513,901,230.1167,1509565.3333,13657.7279
cellulose proprionate (low k),0.1670,0.1000,1464,1.7570,542.0000,1200.0000,48.1572,63.9631,146,0.0100,12.0000,0.6396
cellulose proprionate (low k),0.1670,0.1000,1464,1.7570,542.0000,1200.0000,48.1572,63.9631,146,0.0325,39.0000,2.0788
cellulose proprionate (low k),0.1670,0.1000,1464,1.7570,542.0000,1200.0000,48.1572,63.9631,146,0.0550,66.0000,3.5180
cellulose proprionate (low k),0.1670,0.1000,1464,1.7570,542.0000,1200.0000,48.1572,63.9631,146,0.0775,93.0000,4.9571
cellulose proprionate (low k),0.1670,0.1000,1464,1.7570,542.0000,1200.0000,48.1572,63.9631,146,0.1000,120.0000,6.3963
cellulose proprionate (low k),0.1670,0.1000,1464,1.7570,542.0000,1200.0000,48.1572,63.9631,146,4.0080,4809.6000,256.3642
cellulose proprionate (low k),0.1670,0.1000,1464,1.7570,542.0000,1200.0000,48.1572,63.9631,146,2.7833,3340.0000,178.0307
lead telluride (PbTe) (polyxtal),2.3430,1.9100,151,1.2320,1697.0000,8160.0000,55.4378,61.6208,330,0.0100,81.6000,0.6162
lead telluride (PbTe) (polyxtal),2.3430,1.9100,151,1.2320,1697.0000,8160.0000,55.4378,61.6208,330,0.0325,265.2000,2.0027
lead telluride (PbTe) (polyxtal),2.3430,1.9100,151,1.2320,1697.0000,8160.0000,55.4378,61.6208,330,0.0550,448.8000,3.3891
lead telluride (PbTe) (polyxtal),2.3430,1.9100,151,1.2320,1697.0000,8160.0000,55.4378,61.6208,330,0.0775,632.4000,4.7756
lead telluride (PbTe) (polyxtal),2.3430,1.9100,151,1.2320,1697.0000,8160.0000,55.4378,61.6208,330,0.1000,816.0000,6.1621
lead telluride (PbTe) (polyxtal),2.3430,1.9100,151,1.2320,1697.0000,8160.0000,55.4378,61.6208,330,56.2320,458853.1200,3465.0636
lead telluride (PbTe) (polyxtal),2.3430,1.9100,151,1.2320,1697.0000,8160.0000,55.4378,61.6208,330,39.0500,318648.0000,2406.2942
tungsten titanium carbide k84,53.1370,12.1000,377,4.4110,15301.0000,11700.0000,30.3621,18.9427,837,0.0100,117.0000,0.1894
tungsten titanium carbide k84,53.1370,12.1000,377,4.4110,15301.0000,11700.0000,30.3621,18.9427,837,0.0325,380.2500,0.6156
tungsten titanium carbide k84,53.1370,12.1000,377,4.4110,15301.0000,11700.0000,30.3621,18.9427,837,0.0550,643.5000,1.0419
tungsten titanium carbide k84,53.1370,12.1000,377,4.4110,15301.0000,11700.0000,30.3621,18.9427,837,0.0775,906.7500,1.4681
tungsten titanium carbide k84,53.1370,12.1000,377,4.4110,15301.0000,11700.0000,30.3621,18.9427,837,0.1000,1170.0000,1.8943
tungsten titanium carbide k84,53.1370,12.1000,377,4.4110,15301.0000,11700.0000,30.3621,18.9427,837,1275.2880,14920869.6000,24157.4605
tungsten titanium carbide k84,53.1370,12.1000,377,4.4110,15301.0000,11700.0000,30.3621,18.9427,837,885.6167,10361715.0000,16776.0142
krypton (gas),0.0090,99.9000,247,0.0000,1.0000,0.3733,53.2142,14.2657,318,0.0100,0.0037,0.1427
krypton (gas),0.0090,99.9000,247,0.0000,1.0000,0.3733,53.2142,14.2657,318,0.0325,0.0121,0.4636
krypton (gas),0.0090,99.9000,247,0.0000,1.0000,0.3733,53.2142,14.2657,318,0.0550,0.0205,0.7846
krypton (gas),0.0090,99.9000,247,0.0000,1.0000,0.3733,53.2142,14.2657,318,0.0775,0.0289,1.1056
krypton (gas),0.0090,99.9000,247,0.0000,1.0000,0.3733,53.2142,14.2657,318,0.1000,0.0373,1.4266
krypton (gas),0.0090,99.9000,247,0.0000,1.0000,0.3733,53.2142,14.2657,318,0.2160,0.0806,3.0814
krypton (gas),0.0090,99.9000,247,0.0000,1.0000,0.3733,53.2142,14.2657,318,0.1500,0.0560,2.1399
fermium,12.5520,8.3400,126,1.5120,4348.0000,12000.0000,65.0776,48.4104,247,0.0100,120.0000,0.4841
fermium,12.5520,8.3400,126,1.5120,4348.0000,12000.0000,65.0776,48.4104,247,0.0325,390.0000,1.5733
fermium,12.5520,8.3400,126,1.5120,4348.0000,12000.0000,65.0776,48.4104,247,0.0550,660.0000,2.6626
fermium,12.5520,8.3400,126,1.5120,4348.0000,12000.0000,65.0776,48.4104,247,0.0775,930.0000,3.7518
