Material,Thermal Conductivity (W/m*K),Thermal Diffusivity (mm2/s),Specific Heat Capacity (J/kg*K),Volumetric Specific Heat (MJ/m³K),Thermal Effusivity (Ws0.5/(m2K)),Material Density (kg/m3),Durability (d),Price (c) ($/m^3)
potassium chromate (K2O.2CrO3) (m axis),1.715,0.7,921,2.468,2057.0,2680.0,42.615112,67.54285
nickel alloy nimonic 105,10.878,2.96,460,3.675,6324.0,7990.0,51.34137,46.222046
gallium,33.472,15.2,372,2.197,8581.0,5907.0,68.652954,53.02771
gold,317.98,129.0,128,2.47,28027.0,19300.0,54.616272,61.090576
beryllium + beo (Be BeO 0.6-1.7),179.91,53.7,1820,3.349,24546.0,1840.0,54.616272,61.090576
magnesium,150.62,86.2,1004,1.747,16221.0,1740.0,65.56769,66.517334
zirconium nitride (ZrN),8.786,3.36,385,2.618,4796.0,6800.0,45.803345,59.444214
steel ultra high strength type 300-m,57.739,16.5,448,3.512,14236.0,7840.0,41.072388,18.840332
white pine wood (across grain),0.13,0.11,2301,1.22,398.0,530.0,54.557495,60.598267
tritium (gas),0.096,75.4,4728,0.001,11.0,0.27,54.616272,61.090576
neon (gas),0.049,52.4,1029,0.001,7.0,0.8999,51.10852,31.738525
hafnium carbide (HfC),29.288,12.3,188,2.369,8336.0,12600.0,29.683105,40.09668
magnesium alloy az63a (ac f) (casting),71.128,37.8,1025,1.881,11566.0,1835.0,63.216858,57.37561
potassium bromide (KBr 75  KCl 25),2.092,1.72,477,1.216,1595.0,2550.0,54.358032,54.67505
barium titanate (BaO.TiO2) (sintered),3.389,1.31,439,2.59,2964.0,5900.0,51.92389,60.585327
cobalt,84.935,22.7,423,3.748,17833.0,8860.0,29.193298,36.63257
tin telluride (snte 60  agsbte2 40),1.778,1.31,209,1.359,1555.0,6500.0,55.1687,61.873413
silicone rubber high k,0.753,0.46,1255,1.632,1108.0,1300.0,50.04547,61.19507
manganese oxide (MnO) (single xtal),10.042,3.09,603,3.256,5716.0,5400.0,35.891724,65.8396
pbx-9011 h.e. (hmx 90 estane 10),0.431,0.21,1172,2.074,946.0,1770.0,45.826843,66.889404
iron oxide - hematite (Fe2O3),12.552,3.82,628,3.291,6425.0,5240.0,34.52295,62.355835
sandstone (avg prop),2.51,1.13,962,2.213,2357.0,2300.0,47.73529,65.56506
manganese oxide (MnO) (single xtal),10.042,3.09,603,3.256,5716.0,5400.0,35.891724,65.8396
strontium titanate (SrO.TiO2) (100 d),5.858,2.14,536,2.739,4004.0,5110.0,54.131714,62.75354
nickel alloy d and e,44.769,11.1,460,4.048,13465.0,8800.0,41.476257,9.615723
Graphite Sheet 100 um (in-plane),700.0,968.0,850,0.723,22489.0,850.0,72.49811,0.0
particle board (low density),0.078,0.1017,1300,0.312,590.0,240.0,52.67285,44.82666
magnesium alloy az80a (x frgd) (wrought),54.392,31.4,962,1.732,9706.0,1800.0,66.89935,51.75183
orthoclase (K2O.Al2O3.6SiO2) (crystal),4.184,1.28,1255,3.263,3695.0,2600.0,27.973938,81.8772
niobium beryllide (NbBe12) (hp  93-97d),23.012,7.44,1105,3.094,8438.0,2800.0,35.264526,70.958496
mahogany wood (across grain),0.13,0.1,2301,1.243,401.0,540.0,54.58307,60.812134
deuterium,0.14,110.0,7113,0.001,13.0,0.18,56.83777,62.888306
colombium alloy (Cb61 Ta28 W10 Zr0.5),44.769,20.8,201,2.151,9808.0,10700.0,33.850952,46.710693
lead alloy (Pb50 Sn50) (solder),46.024,24.3,213,1.894,9344.0,8890.0,53.376343,54.34143
composition b-3 h.e. (rdx 60  tnt 40),0.262,0.11,1356,2.339,783.0,1725.0,43.815247,68.82239
niobium alloy (Nb95 Ta5),44.769,19.8,251,2.259,10056.0,9000.0,36.78235,44.035034
niobium,50.208,21.9,268,2.297,10735.0,8570.0,39.388306,45.016968
di-nitrogen tetroxide,0.29,0.1299,1550,2.232,804.6,1440.0,45.92572,67.46411
helium (gas),0.15,164.0,5188,0.001,12.0,0.177,54.616272,61.090576
limestone (H2O 15.3),0.92,0.61,921,1.52,1182.0,1650.0,51.82367,58.704712
zirconium oxide + ti cermet zt-15-m,6.276,2.48,444,2.531,3983.0,5700.0,58.652283,66.96509
iron grey cast ferritic (2.3-3.0 c),50.208,15.2,460,3.307,12889.0,7190.0,46.265015,19.951782
nickel alloy m-252 (ge j-1500),9.623,2.67,439,3.604,5891.0,8210.0,50.67279,48.40442
argon (gas) (25 °C),0.017745,21.101,522,0.001,82.0,1.6125,51.505737,35.061646
nickel alloy illium r,12.97,3.39,460,3.823,7043.0,8310.0,51.27649,42.06299
nickel alloy monel k (annealed),17.74,4.91,427,3.615,8006.0,8465.0,46.8208,34.224243
aluminum oxide (Al2O3) (polyxtal  55 d),17.573,10.3,778,1.712,5485.0,2200.0,69.13153,52.44336
niobium alloy (Nb61 Ta28 W10 Zr0.5),44.769,20.8,201,2.151,9808.0,10700.0,33.850952,46.710693
polyvinyl butyral,0.084,0.05,1674,1.841,393.0,1100.0,48.664673,65.4375
titanium alloy (Ti Bal  Cr3.4  Mo2.1),16.318,6.78,523,2.406,6266.0,4600.0,81.62073,48.135254
silicon carbide (SiC) (single xtal),489.53,225.0,678,2.176,32636.0,3210.0,70.079956,68.753296
potassium fluoride (KG|F),7.113,3.33,862,2.138,3899.0,2480.0,54.415955,61.531616
magnesium alloy zk60a b zw6 (casting),117.15,61.2,1046,1.914,14975.0,1830.0,63.731445,65.6073
zircon porcelain (high k),5.858,2.56,586,2.285,3658.0,3900.0,65.42932,60.52173
silicon oxide (SiO2) (quartz c axis),11.715,5.87,753,1.995,4835.0,2650.0,61.62036,55.877686
tantalum nitride (tan),7.95,2.7,205,2.944,4838.0,14360.0,41.139587,34.389893
terbium boride (TbB6) (94.3 pc dense),20.083,6.4,628,3.14,7939.0,5000.0,45.526855,47.42737
zinc antimonide (ZnSb),2.343,1.37,272,1.714,2004.0,6300.0,58.72577,78.827515
nickel alloy monel 400,25.941,6.69,439,3.876,10031.0,8830.0,46.18445,23.559326
iron sulfide (FeS2) (single crystal),37.907,13.6,557,2.785,10270.0,5000.0,59.303406,31.029785
rubidium chloride (RbCl),2.092,1.73,431,1.207,1589.0,2800.0,53.908997,55.171265
cellulose triacetate,0.251,0.13,1464,1.903,691.0,1300.0,47.01062,65.79431
magnesium alloy hk31a(t6) (casting),92.048,50.2,1025,1.835,12996.0,1790.0,61.835266,61.72107
missouri fireclay brick,1.004,0.67,753,1.506,1230.0,2000.0,53.384583,57.503906
nickel alloy inconel 702 (annealed),12.552,3.26,460,3.85,6953.0,8370.0,51.427612,42.937134
plutonium nitride (PuN),13.807,5.15,188,2.679,6087.0,14250.0,35.819885,34.592407
berkelium,12.552,8.34,126,1.512,4348.0,12000.0,65.07764,48.4104
nickel alloy rene 41,10.334,2.97,423,3.481,5995.0,8230.0,49.773743,46.594482
magnesium alloy m1(x s) (wrought),142.26,78.9,1025,1.804,16020.0,1760.0,65.24896,66.3595
mica insulating powder,0.121,0.44,837,0.276,183.0,330.0,52.44635,42.93213
cellulose acetate (high k),0.335,0.18,1464,1.903,798.0,1300.0,47.09558,65.72754
magnesium alloy az61a(x) azm (wrought),75.312,40.8,1025,1.845,11788.0,1800.0,62.51062,58.302856
potassium chloride (KCl) (sylvite xtal),6.987,5.12,686,1.365,3089.0,1990.0,58.33612,51.59021
uranium nitride (UN) (hp  95-98 dense),13.807,5.31,188,2.594,5990.0,13800.0,36.66931,35.076416
magnesium alloy za(ac) (casting),146.44,81.6,1025,1.794,16207.0,1750.0,65.3869,66.427734
lead alloy (solder) (Sn37.5 Pb37.5 In25),56.902,27.5,239,2.077,10860.0,8690.0,48.137695,51.69934
titanium oxide (TiO2) (rutile  a axis),8.786,3.01,686,2.916,5062.0,4250.0,54.91748,73.52161
sulfur dioxide (SO2) (gas),0.009,5.08,636,0.002,4.0,2.927,51.910706,38.449707
boron nitride (BN) (perp pr axis 95 d),32.844,19.7,795,1.67,7405.0,2100.0,78.46661,52.547485
lead antimonial (Pb Sb 8-9),26.987,18.8,134,1.434,6218.0,10700.0,59.709717,63.04431
praseodymium boride (PrB6) (95 pc dens),41.003,14.2,628,2.889,10880.0,4600.0,60.294373,26.803955
phenol-formaldehyde + phenol-furfural,0.209,0.1,1674,2.143,670.0,1280.0,47.257874,66.48718
sodium fluoride (NaF),10.502,3.69,1113,2.847,5468.0,2558.0,32.975525,80.184204
lutetium,10.46,7.05,151,1.487,3939.0,9850.0,61.584717,54.07251
uranium oxide + mo (UO2 70 vol) (92 d),20.083,6.0,335,3.35,8199.0,10000.0,32.534668,38.487427
titanium nitride (TiN) (hp  70-90 dens),25.104,9.26,603,2.714,8250.0,4500.0,73.29773,34.895508
magnesium alloy m1a (wrought),131.8,73.1,1025,1.804,15420.0,1760.0,64.95892,66.215576
ethylene glycol 50%,0.425,0.12,3287,3.471,1215.0,1056.0,44.55243,76.46814
molybdenum alloy (Mo99.5 Ti0.5),117.15,45.0,255,2.601,17463.0,10200.0,48.73584,60.429688
magnesium alloy az92a(ac) (casting),54.392,29.1,1025,1.871,10087.0,1825.0,64.81061,53.66687
polystyrene foam,0.026,0.5,1130,0.052,37.0,46.0,52.24939,41.283203
lanthanum boride (LaB6) (99.5 pc dense),47.698,16.5,628,2.889,11735.0,4600.0,55.039795,27.614502
potassium iodide (KI),2.887,3.02,305,0.955,1661.0,3130.0,55.52112,53.341675
quartz flour fine (H2O 21 pc),2.218,0.83,1464,2.664,2431.0,1820.0,42.129517,68.698
manganese,6.694,1.88,481,3.559,4882.0,7400.0,48.09491,58.02478
nickel alloy (Ni35 Cr20 Fe45),12.97,3.55,460,3.657,6889.0,7950.0,51.157715,41.932373
plutonium,8.201,3.19,134,2.573,4592.0,19200.0,53.23047,29.882324
uranium oxide (UO2) (single crystal),10.46,3.93,243,2.663,5275.0,10960.0,39.223083,40.099
Fibrous glass board (NIST 1450d),0.0325,0.2323,1093,0.14,67.0,128.0,52.354797,42.16565
samarium boride (SmB6) (96.8 pc dense),13.807,4.49,628,3.077,6516.0,4900.0,45.146362,59.445557
aluminum nitride (AlN) (prs axis  98 d),35.146,15.0,732,2.342,9075.0,3200.0,90.75043,38.433105
diabasic glass (artificial),1.172,0.65,753,1.807,1455.0,2400.0,50.846313,62.726074
phenol-formaldehyde + phenol-furfural,0.209,0.1,1674,2.143,670.0,1280.0,47.257874,66.48718
particle board (high density),0.17,0.1381,1300,0.611,1000.0,470.0,53.06067,48.072144
cobalt alloy hs-31 (x-40) (as cast),12.552,3.48,418,3.599,6724.0,8610.0,48.17047,42.554077
balsa wood (across grain),0.084,0.11,2301,0.736,248.0,320.0,54.051147,56.361084
uranium oxide + nb (UO2 80 vol),9.623,2.88,335,3.35,5675.0,10000.0,34.6969,50.73413
quartz flour fine (H2O 21 pc),2.218,0.83,1464,2.664,2431.0,1820.0,42.129517,68.698
butadiene-acrylonitrile rubber + c,0.418,0.22,1443,1.934,899.0,1340.0,46.84906,66.00842
alumina porcelain (high k),18.828,6.97,795,2.703,7134.0,3400.0,73.00958,55.979248
diatomaceous earth brick (molded frd),0.243,0.5,795,0.485,343.0,610.0,52.7323,45.32422
mica (single crystal) (synthetic) (98d),2.092,0.9,837,2.335,2210.0,2790.0,45.21942,65.57654
n-heptane  (25 °C),0.1222,0.08004,2247,1.527,35.0,680.0,54.616272,61.090576
pyroceram 9606 (ceramic glass),3.975,1.95,782,2.033,2844.0,2600.0,52.367554,62.414917
tin oxide (SnO2) (93-95 pc dense),31.38,16.5,343,1.907,7737.0,5560.0,93.26599,57.78711
magnesium sulfate (MgSO4) (crystal),2.51,0.75,1255,3.338,2895.0,2660.0,32.47162,79.77783
magnesite brick c (MgO 86) (17.8 p),3.682,1.51,837,2.444,2999.0,2920.0,48.074646,65.91101
polyvinyl butyral,0.084,0.05,1674,1.841,393.0,1100.0,48.664673,65.4375
magnesium alloy magnox a12(x) (wrought),117.15,65.3,1025,1.794,14496.0,1750.0,64.124084,64.66443
orthoclase (K2O.Al2O3.6SiO2) (crystal),4.184,1.28,1255,3.263,3695.0,2600.0,27.973938,81.8772
propane,0.13,0.097,2140,1.243,417.4,581.0,54.48761,60.012817
cobalt alloy v-36 (wrought),12.552,3.49,418,3.595,6720.0,8600.0,48.170044,42.552734
magnesium aluminate (MgO.Al2O3) (100 d),15.062,5.15,812,2.923,6634.0,3600.0,60.71747,67.36963
polyurethane foam  flexible,0.042,0.4,1757,0.105,66.0,60.0,52.673462,44.831787
selenium (grey),0.753,0.49,322,1.542,1078.0,4790.0,56.69763,69.63696
uranium alloy (U93 Fs5 Zr2),20.083,9.09,126,2.218,6660.0,17600.0,46.549927,37.036987
particle board (low density),0.078,0.1017,1300,0.312,590.0,240.0,52.67285,44.82666
radium,12.552,22.1,113,0.565,2668.0,5000.0,73.968445,54.80945
propylene (propene),0.11,0.0817,2200,1.346,384.8,612.0,54.616272,61.090576
steatite - magnesium silicate (MgO.SiO2) (commercial grades),3.347,1.33,837,2.511,2899.0,3000.0,47.269653,66.40198
silicon oxide (SiO2) (foam 1 atm air),0.055,0.46,745,0.119,81.0,160.0,52.208008,40.937378
nickel alloy hastelloy n and inor-8,10.753,3.08,398,3.498,6130.0,8790.0,46.40692,46.78882
europium,12.552,13.5,176,0.933,3419.0,5300.0,69.31702,58.850464
niobium nitride (NbN),4.184,1.25,402,3.361,3748.0,8360.0,44.96405,60.125732
tungsten alloy (W90 Ni6 Cu2-4),77.404,34.6,134,2.238,13156.0,16700.0,38.36322,57.363525
magnesium alloy hk31a(h24) (casting),112.97,61.6,1025,1.835,14397.0,1790.0,63.708252,64.68396
strontium sulfate (SrSO4) (crystal),1.799,0.78,586,2.321,2043.0,3960.0,44.884766,63.82556
silver chloride (AgCl) (single crystal),1.134,0.57,356,1.979,1497.0,5560.0,59.34961,83.77075
oxygen (gas),0.026,23.2,795,0.001,5.0,1.429,51.57202,35.6167
soil sandy dry,0.264,0.2,795,1.312,588.0,1650.0,53.45685,55.00525
plutonium phosphide (PuP) (90 pc dense),5.439,2.39,230,2.275,3518.0,9890.0,56.151062,45.284912
titanium alloy hylite 40,7.531,3.06,544,2.459,4303.0,4520.0,70.690186,59.529785
nickel alloy inconel (wrought  annld),13.305,3.48,452,3.828,7136.0,8470.0,50.737,41.254272
niobium,50.208,21.9,268,2.297,10735.0,8570.0,39.388306,45.016968
titanium alloy (Ti Bal  Sn4.8  Al4.5),7.531,3.2,523,2.354,4210.0,4500.0,72.077576,60.187256
bronze architectural,121.34,37.9,377,3.205,19708.0,8500.0,42.37445,51.254883
zinc (liquid),59.413,17.4,502,3.414,14243.0,6800.0,41.886047,19.998657
molybdenum carbide (Mo2C),20.92,6.69,347,3.123,8086.0,9000.0,34.99414,40.16394
tungsten titanium carbide k86  k7h  k3h,28.033,6.71,377,4.185,10825.0,11100.0,38.653076,23.232788
yttrium oxide (Y2O3) (96-100 pc dense),14.226,6.36,448,2.24,5643.0,5000.0,77.60669,54.845215
copper sulfate hydrate (CuSO4.5H2O),2.259,0.84,1172,2.677,2459.0,2284.0,41.168457,71.19055
titanium alloy hylite 55 (imi),7.531,3.03,523,2.489,4330.0,4760.0,70.130066,60.037598
potassium chromate (K2O.2CrO3) (m axis),1.715,0.7,921,2.468,2057.0,2680.0,42.615112,67.54285
barium,33.472,50.8,188,0.658,4697.0,3500.0,74.793945,46.667847
magnesium alloy 1964 (Mg Ce5 Co2 Mn0.8),121.34,68.7,1004,1.767,14643.0,1760.0,64.56073,64.65137
fluorocarbons tfe (teflon),0.251,0.12,1004,2.179,740.0,2170.0,44.307007,67.43176
silicon carbide (SiC) (carbofrax brick),21.757,11.9,678,1.831,6310.0,2700.0,76.74963,54.35254
cobalt alloy wi-A664:G67052,25.104,7.14,418,3.511,9393.0,8400.0,44.473328,27.292725
sandstone (low density),1.841,0.87,962,2.116,1974.0,2200.0,47.41156,65.55151
lithium aluminum silicate (b-spodumene),1.046,0.27,1255,3.891,2017.0,3100.0,34.381958,84.65808
nitrile rubber,0.243,0.12,1966,1.966,691.0,1000.0,51.058105,63.700073
chromium nitride (CrN),12.134,2.85,699,4.264,7191.0,6100.0,35.816833,59.062744
krypton (gas),0.009,99.9,247,0.0,1.0,0.3733,53.214172,14.265747
vanadium,30.794,11.0,460,2.806,9298.0,6100.0,48.98645,38.03894
di-nitrogen tetroxide,0.29,0.1299,1550,2.232,804.6,1440.0,45.92572,67.46411
aluminum alloy (Al98.5 cast or tempd),167.36,70.6,879,2.373,19925.0,2700.0,63.226196,65.35693
fired carbon brick,3.598,3.46,707,1.039,1934.0,1470.0,54.702576,50.609863
copper wrought,376.56,112.0,377,3.355,35526.0,8900.0,54.616272,61.090576
tungsten titanium carbide k5h,35.564,8.21,377,4.336,12411.0,11500.0,36.872803,17.758423
hydrazine,0.57,0.1832,3080,3.111,1331.7,1010.0,47.61383,72.86914
dandelion,7.699,2.86,418,2.688,4551.0,6430.0,43.414673,62.30957
fermium,12.552,8.34,126,1.512,4348.0,12000.0,65.07764,48.4104
copper wrought,376.56,112.0,377,3.355,35526.0,8900.0,54.616272,61.090576
