Material,Thermal Conductivity (W/m*K),Thermal Diffusivity (mm2/s),Specific Heat Capacity (J/kg*K),Volumetric Specific Heat (MJ/m³K),Thermal Effusivity (Ws0.5/(m2K)),Material Density (kg/m3),Durability (d),Price (c) ($/m^3),Material_encoded,Thickness,Weight,Cost
beryllium alloy (Be98.5) (as received),133.8900,40.8000,1799,3.2800,20955.0000,1823.0000,47.9459,62.2906,80,0.1000,182.3000,6.2291
beryllium alloy (Be98.5) (as received),133.8900,40.8000,1799,3.2800,20955.0000,1823.0000,47.9459,62.2906,80,3213.3600,5857955.2800,200162.2831
beryllium alloy (Be98.5) (as received),133.8900,40.8000,1799,3.2800,20955.0000,1823.0000,47.9459,62.2906,80,2231.5000,4068024.5000,139001.5855
soil clay (wet),1.5060,0.3400,2929,4.3940,2572.0000,1500.0000,42.3157,81.5487,681,0.0100,15.0000,0.8155
soil clay (wet),1.5060,0.3400,2929,4.3940,2572.0000,1500.0000,42.3157,81.5487,681,0.0325,48.7500,2.6503
soil clay (wet),1.5060,0.3400,2929,4.3940,2572.0000,1500.0000,42.3157,81.5487,681,0.0550,82.5000,4.4852
soil clay (wet),1.5060,0.3400,2929,4.3940,2572.0000,1500.0000,42.3157,81.5487,681,0.0775,116.2500,6.3200
soil clay (wet),1.5060,0.3400,2929,4.3940,2572.0000,1500.0000,42.3157,81.5487,681,0.1000,150.0000,8.1549
soil clay (wet),1.5060,0.3400,2929,4.3940,2572.0000,1500.0000,42.3157,81.5487,681,36.1440,54216.0000,2947.4964
soil clay (wet),1.5060,0.3400,2929,4.3940,2572.0000,1500.0000,42.3157,81.5487,681,25.1000,37650.0000,2046.8725
titanium alloy hylite 60 (imi),7.5310,3.1000,523,2.4320,4280.0000,4650.0000,70.7830,60.4860,780,0.0100,46.5000,0.6049
titanium alloy hylite 60 (imi),7.5310,3.1000,523,2.4320,4280.0000,4650.0000,70.7830,60.4860,780,0.0325,151.1250,1.9658
titanium alloy hylite 60 (imi),7.5310,3.1000,523,2.4320,4280.0000,4650.0000,70.7830,60.4860,780,0.0550,255.7500,3.3267
titanium alloy hylite 60 (imi),7.5310,3.1000,523,2.4320,4280.0000,4650.0000,70.7830,60.4860,780,0.0775,360.3750,4.6877
titanium alloy hylite 60 (imi),7.5310,3.1000,523,2.4320,4280.0000,4650.0000,70.7830,60.4860,780,0.1000,465.0000,6.0486
titanium alloy hylite 60 (imi),7.5310,3.1000,523,2.4320,4280.0000,4650.0000,70.7830,60.4860,780,180.7440,840459.6000,10932.4747
titanium alloy hylite 60 (imi),7.5310,3.1000,523,2.4320,4280.0000,4650.0000,70.7830,60.4860,780,125.5167,583652.5000,7591.9963
epoxy der 332 (c) hysol 6000-op (k),0.1950,0.1400,1172,1.4180,525.0000,1210.0000,51.7505,57.8232,220,0.0100,12.1000,0.5782
epoxy der 332 (c) hysol 6000-op (k),0.1950,0.1400,1172,1.4180,525.0000,1210.0000,51.7505,57.8232,220,0.0325,39.3250,1.8793
epoxy der 332 (c) hysol 6000-op (k),0.1950,0.1400,1172,1.4180,525.0000,1210.0000,51.7505,57.8232,220,0.0550,66.5500,3.1803
epoxy der 332 (c) hysol 6000-op (k),0.1950,0.1400,1172,1.4180,525.0000,1210.0000,51.7505,57.8232,220,0.0775,93.7750,4.4813
epoxy der 332 (c) hysol 6000-op (k),0.1950,0.1400,1172,1.4180,525.0000,1210.0000,51.7505,57.8232,220,0.1000,121.0000,5.7823
epoxy der 332 (c) hysol 6000-op (k),0.1950,0.1400,1172,1.4180,525.0000,1210.0000,51.7505,57.8232,220,4.6800,5662.8000,270.6128
epoxy der 332 (c) hysol 6000-op (k),0.1950,0.1400,1172,1.4180,525.0000,1210.0000,51.7505,57.8232,220,3.2500,3932.5000,187.9255
iron (0 to 3000 deg c),71.9650,20.4000,448,3.5260,15924.0000,7870.0000,36.1355,29.5927,284,0.0100,78.7000,0.2959
iron (0 to 3000 deg c),71.9650,20.4000,448,3.5260,15924.0000,7870.0000,36.1355,29.5927,284,0.0325,255.7750,0.9618
iron (0 to 3000 deg c),71.9650,20.4000,448,3.5260,15924.0000,7870.0000,36.1355,29.5927,284,0.0550,432.8500,1.6276
iron (0 to 3000 deg c),71.9650,20.4000,448,3.5260,15924.0000,7870.0000,36.1355,29.5927,284,0.0775,609.9250,2.2934
iron (0 to 3000 deg c),71.9650,20.4000,448,3.5260,15924.0000,7870.0000,36.1355,29.5927,284,0.1000,787.0000,2.9593
iron (0 to 3000 deg c),71.9650,20.4000,448,3.5260,15924.0000,7870.0000,36.1355,29.5927,284,1727.1600,13592749.2000,51111.2431
iron (0 to 3000 deg c),71.9650,20.4000,448,3.5260,15924.0000,7870.0000,36.1355,29.5927,284,1199.4167,9439409.1667,35493.9188
sodium (liquid),84.5170,65.8000,1381,1.2840,10419.0000,930.0000,59.5602,55.0037,674,0.0100,9.3000,0.5500
sodium (liquid),84.5170,65.8000,1381,1.2840,10419.0000,930.0000,59.5602,55.0037,674,0.0325,30.2250,1.7876
sodium (liquid),84.5170,65.8000,1381,1.2840,10419.0000,930.0000,59.5602,55.0037,674,0.0550,51.1500,3.0252
sodium (liquid),84.5170,65.8000,1381,1.2840,10419.0000,930.0000,59.5602,55.0037,674,0.0775,72.0750,4.2628
sodium (liquid),84.5170,65.8000,1381,1.2840,10419.0000,930.0000,59.5602,55.0037,674,0.1000,93.0000,5.5004
sodium (liquid),84.5170,65.8000,1381,1.2840,10419.0000,930.0000,59.5602,55.0037,674,2028.4080,1886419.4400,111569.8680
sodium (liquid),84.5170,65.8000,1381,1.2840,10419.0000,930.0000,59.5602,55.0037,674,1408.6167,1310013.5000,77479.0750
cobalt alloy wi-52 (cr coated sample),19.6650,5.6000,418,3.5110,8313.0000,8400.0000,45.3901,32.5981,174,0.0100,84.0000,0.3260
cobalt alloy wi-52 (cr coated sample),19.6650,5.6000,418,3.5110,8313.0000,8400.0000,45.3901,32.5981,174,0.0325,273.0000,1.0594
cobalt alloy wi-52 (cr coated sample),19.6650,5.6000,418,3.5110,8313.0000,8400.0000,45.3901,32.5981,174,0.0550,462.0000,1.7929
cobalt alloy wi-52 (cr coated sample),19.6650,5.6000,418,3.5110,8313.0000,8400.0000,45.3901,32.5981,174,0.0775,651.0000,2.5264
cobalt alloy wi-52 (cr coated sample),19.6650,5.6000,418,3.5110,8313.0000,8400.0000,45.3901,32.5981,174,0.1000,840.0000,3.2598
cobalt alloy wi-52 (cr coated sample),19.6650,5.6000,418,3.5110,8313.0000,8400.0000,45.3901,32.5981,174,471.9600,3964464.0000,15385.0205
cobalt alloy wi-52 (cr coated sample),19.6650,5.6000,418,3.5110,8313.0000,8400.0000,45.3901,32.5981,174,327.7500,2753100.0000,10684.0420
thallium,38.9110,25.3000,130,1.5410,7733.0000,11850.0000,55.3713,63.8356,750,0.0100,118.5000,0.6384
thallium,38.9110,25.3000,130,1.5410,7733.0000,11850.0000,55.3713,63.8356,750,0.0325,385.1250,2.0747
thallium,38.9110,25.3000,130,1.5410,7733.0000,11850.0000,55.3713,63.8356,750,0.0550,651.7500,3.5110
thallium,38.9110,25.3000,130,1.5410,7733.0000,11850.0000,55.3713,63.8356,750,0.0775,918.3750,4.9473
thallium,38.9110,25.3000,130,1.5410,7733.0000,11850.0000,55.3713,63.8356,750,0.1000,1185.0000,6.3836
thallium,38.9110,25.3000,130,1.5410,7733.0000,11850.0000,55.3713,63.8356,750,933.8640,11066288.4000,59613.7407
thallium,38.9110,25.3000,130,1.5410,7733.0000,11850.0000,55.3713,63.8356,750,648.5167,7684922.5000,41398.4311
silicon boride (SiB4),9.8320,3.8200,1046,2.5730,5030.0000,2460.0000,46.1573,69.7219,641,0.0100,24.6000,0.6972
silicon boride (SiB4),9.8320,3.8200,1046,2.5730,5030.0000,2460.0000,46.1573,69.7219,641,0.0325,79.9500,2.2660
silicon boride (SiB4),9.8320,3.8200,1046,2.5730,5030.0000,2460.0000,46.1573,69.7219,641,0.0550,135.3000,3.8347
silicon boride (SiB4),9.8320,3.8200,1046,2.5730,5030.0000,2460.0000,46.1573,69.7219,641,0.0775,190.6500,5.4034
silicon boride (SiB4),9.8320,3.8200,1046,2.5730,5030.0000,2460.0000,46.1573,69.7219,641,0.1000,246.0000,6.9722
silicon boride (SiB4),9.8320,3.8200,1046,2.5730,5030.0000,2460.0000,46.1573,69.7219,641,235.9680,580481.2800,16452.1430
silicon boride (SiB4),9.8320,3.8200,1046,2.5730,5030.0000,2460.0000,46.1573,69.7219,641,163.8667,403112.0000,11425.0993
alumina brick high k (Al2O3 87) (22 p),2.9290,1.3700,753,2.1460,2507.0000,2850.0000,50.5543,64.0050,17,0.0100,28.5000,0.6401
alumina brick high k (Al2O3 87) (22 p),2.9290,1.3700,753,2.1460,2507.0000,2850.0000,50.5543,64.0050,17,0.0325,92.6250,2.0802
alumina brick high k (Al2O3 87) (22 p),2.9290,1.3700,753,2.1460,2507.0000,2850.0000,50.5543,64.0050,17,0.0550,156.7500,3.5203
alumina brick high k (Al2O3 87) (22 p),2.9290,1.3700,753,2.1460,2507.0000,2850.0000,50.5543,64.0050,17,0.0775,220.8750,4.9604
alumina brick high k (Al2O3 87) (22 p),2.9290,1.3700,753,2.1460,2507.0000,2850.0000,50.5543,64.0050,17,0.1000,285.0000,6.4005
alumina brick high k (Al2O3 87) (22 p),2.9290,1.3700,753,2.1460,2507.0000,2850.0000,50.5543,64.0050,17,70.2960,200343.6000,4499.2958
alumina brick high k (Al2O3 87) (22 p),2.9290,1.3700,753,2.1460,2507.0000,2850.0000,50.5543,64.0050,17,48.8167,139127.5000,3124.5110
barium titanate (BaO.TiO2) (sintered),3.3890,1.3100,439,2.5900,2964.0000,5900.0000,51.9239,60.5853,71,0.0100,59.0000,0.6059
barium titanate (BaO.TiO2) (sintered),3.3890,1.3100,439,2.5900,2964.0000,5900.0000,51.9239,60.5853,71,0.0325,191.7500,1.9690
barium titanate (BaO.TiO2) (sintered),3.3890,1.3100,439,2.5900,2964.0000,5900.0000,51.9239,60.5853,71,0.0550,324.5000,3.3322
barium titanate (BaO.TiO2) (sintered),3.3890,1.3100,439,2.5900,2964.0000,5900.0000,51.9239,60.5853,71,0.0775,457.2500,4.6954
barium titanate (BaO.TiO2) (sintered),3.3890,1.3100,439,2.5900,2964.0000,5900.0000,51.9239,60.5853,71,0.1000,590.0000,6.0585
barium titanate (BaO.TiO2) (sintered),3.3890,1.3100,439,2.5900,2964.0000,5900.0000,51.9239,60.5853,71,81.3360,479882.4000,4927.7682
barium titanate (BaO.TiO2) (sintered),3.3890,1.3100,439,2.5900,2964.0000,5900.0000,51.9239,60.5853,71,56.4833,333251.6667,3422.0612
niobium beryllide (NbBe12) (hp  93-97d),23.0120,7.4400,1105,3.0940,8438.0000,2800.0000,35.2645,70.9585,506,0.0100,28.0000,0.7096
niobium beryllide (NbBe12) (hp  93-97d),23.0120,7.4400,1105,3.0940,8438.0000,2800.0000,35.2645,70.9585,506,0.0325,91.0000,2.3062
niobium beryllide (NbBe12) (hp  93-97d),23.0120,7.4400,1105,3.0940,8438.0000,2800.0000,35.2645,70.9585,506,0.0550,154.0000,3.9027
niobium beryllide (NbBe12) (hp  93-97d),23.0120,7.4400,1105,3.0940,8438.0000,2800.0000,35.2645,70.9585,506,0.0775,217.0000,5.4993
niobium beryllide (NbBe12) (hp  93-97d),23.0120,7.4400,1105,3.0940,8438.0000,2800.0000,35.2645,70.9585,506,0.1000,280.0000,7.0958
niobium beryllide (NbBe12) (hp  93-97d),23.0120,7.4400,1105,3.0940,8438.0000,2800.0000,35.2645,70.9585,506,552.2880,1546406.4000,39189.5258
niobium beryllide (NbBe12) (hp  93-97d),23.0120,7.4400,1105,3.0940,8438.0000,2800.0000,35.2645,70.9585,506,383.5333,1073893.3333,27214.9485
potassium bromide (KBr) (single xtal),4.8120,4.0200,435,1.1960,2399.0000,2750.0000,57.4582,54.6879,587,0.0100,27.5000,0.5469
potassium bromide (KBr) (single xtal),4.8120,4.0200,435,1.1960,2399.0000,2750.0000,57.4582,54.6879,587,0.0325,89.3750,1.7774
potassium bromide (KBr) (single xtal),4.8120,4.0200,435,1.1960,2399.0000,2750.0000,57.4582,54.6879,587,0.0550,151.2500,3.0078
potassium bromide (KBr) (single xtal),4.8120,4.0200,435,1.1960,2399.0000,2750.0000,57.4582,54.6879,587,0.0775,213.1250,4.2383
potassium bromide (KBr) (single xtal),4.8120,4.0200,435,1.1960,2399.0000,2750.0000,57.4582,54.6879,587,0.1000,275.0000,5.4688
potassium bromide (KBr) (single xtal),4.8120,4.0200,435,1.1960,2399.0000,2750.0000,57.4582,54.6879,587,115.4880,317592.0000,6315.7923
potassium bromide (KBr) (single xtal),4.8120,4.0200,435,1.1960,2399.0000,2750.0000,57.4582,54.6879,587,80.2000,220550.0000,4385.9669
titanium carbide cermet k162b,19.2460,5.9000,544,3.2640,7925.0000,6000.0000,47.5603,39.1873,794,0.0100,60.0000,0.3919
titanium carbide cermet k162b,19.2460,5.9000,544,3.2640,7925.0000,6000.0000,47.5603,39.1873,794,0.0325,195.0000,1.2736
titanium carbide cermet k162b,19.2460,5.9000,544,3.2640,7925.0000,6000.0000,47.5603,39.1873,794,0.0550,330.0000,2.1553
titanium carbide cermet k162b,19.2460,5.9000,544,3.2640,7925.0000,6000.0000,47.5603,39.1873,794,0.0775,465.0000,3.0370
titanium carbide cermet k162b,19.2460,5.9000,544,3.2640,7925.0000,6000.0000,47.5603,39.1873,794,0.1000,600.0000,3.9187
titanium carbide cermet k162b,19.2460,5.9000,544,3.2640,7925.0000,6000.0000,47.5603,39.1873,794,461.9040,2771424.0000,18100.7503
titanium carbide cermet k162b,19.2460,5.9000,544,3.2640,7925.0000,6000.0000,47.5603,39.1873,794,320.7667,1924600.0000,12569.9655
beryllium oxide (BeO) (96 pc dens),255.2200,84.1000,1046,3.0330,27824.0000,2900.0000,58.0884,62.8110,85,0.0100,29.0000,0.6281
beryllium oxide (BeO) (96 pc dens),255.2200,84.1000,1046,3.0330,27824.0000,2900.0000,58.0884,62.8110,85,0.0325,94.2500,2.0414
beryllium oxide (BeO) (96 pc dens),255.2200,84.1000,1046,3.0330,27824.0000,2900.0000,58.0884,62.8110,85,0.0550,159.5000,3.4546
beryllium oxide (BeO) (96 pc dens),255.2200,84.1000,1046,3.0330,27824.0000,2900.0000,58.0884,62.8110,85,0.0775,224.7500,4.8679
beryllium oxide (BeO) (96 pc dens),255.2200,84.1000,1046,3.0330,27824.0000,2900.0000,58.0884,62.8110,85,0.1000,290.0000,6.2811
beryllium oxide (BeO) (96 pc dens),255.2200,84.1000,1046,3.0330,27824.0000,2900.0000,58.0884,62.8110,85,6125.2800,17763312.0000,384735.1765
beryllium oxide (BeO) (96 pc dens),255.2200,84.1000,1046,3.0330,27824.0000,2900.0000,58.0884,62.8110,85,4253.6667,12335633.3333,267177.2059
polyurethane foam  flexible,0.0420,0.4000,1757,0.1050,66.0000,60.0000,52.6735,44.8318,566,0.0100,0.6000,0.4483
polyurethane foam  flexible,0.0420,0.4000,1757,0.1050,66.0000,60.0000,52.6735,44.8318,566,0.0325,1.9500,1.4570
polyurethane foam  flexible,0.0420,0.4000,1757,0.1050,66.0000,60.0000,52.6735,44.8318,566,0.0550,3.3000,2.4657
polyurethane foam  flexible,0.0420,0.4000,1757,0.1050,66.0000,60.0000,52.6735,44.8318,566,0.0775,4.6500,3.4745
polyurethane foam  flexible,0.0420,0.4000,1757,0.1050,66.0000,60.0000,52.6735,44.8318,566,0.1000,6.0000,4.4832
polyurethane foam  flexible,0.0420,0.4000,1757,0.1050,66.0000,60.0000,52.6735,44.8318,566,1.0080,60.4800,45.1904
polyurethane foam  flexible,0.0420,0.4000,1757,0.1050,66.0000,60.0000,52.6735,44.8318,566,0.7000,42.0000,31.3823
cobalt alloy k-42b,12.5520,3.5700,418,3.5110,6642.0000,8400.0000,48.1171,42.5063,170,0.0100,84.0000,0.4251
cobalt alloy k-42b,12.5520,3.5700,418,3.5110,6642.0000,8400.0000,48.1171,42.5063,170,0.0325,273.0000,1.3815
cobalt alloy k-42b,12.5520,3.5700,418,3.5110,6642.0000,8400.0000,48.1171,42.5063,170,0.0550,462.0000,2.3378
cobalt alloy k-42b,12.5520,3.5700,418,3.5110,6642.0000,8400.0000,48.1171,42.5063,170,0.0775,651.0000,3.2942
cobalt alloy k-42b,12.5520,3.5700,418,3.5110,6642.0000,8400.0000,48.1171,42.5063,170,0.1000,840.0000,4.2506
cobalt alloy k-42b,12.5520,3.5700,418,3.5110,6642.0000,8400.0000,48.1171,42.5063,170,301.2480,2530483.2000,12804.9523
cobalt alloy k-42b,12.5520,3.5700,418,3.5110,6642.0000,8400.0000,48.1171,42.5063,170,209.2000,1757280.0000,8892.3280
cobalt alloy (Co64 Cr30 W6),12.5520,3.5600,418,3.5280,6658.0000,8440.0000,48.1289,42.5133,158,0.0100,84.4000,0.4251
cobalt alloy (Co64 Cr30 W6),12.5520,3.5600,418,3.5280,6658.0000,8440.0000,48.1289,42.5133,158,0.0325,274.3000,1.3817
cobalt alloy (Co64 Cr30 W6),12.5520,3.5600,418,3.5280,6658.0000,8440.0000,48.1289,42.5133,158,0.0550,464.2000,2.3382
cobalt alloy (Co64 Cr30 W6),12.5520,3.5600,418,3.5280,6658.0000,8440.0000,48.1289,42.5133,158,0.0775,654.1000,3.2948
cobalt alloy (Co64 Cr30 W6),12.5520,3.5600,418,3.5280,6658.0000,8440.0000,48.1289,42.5133,158,0.1000,844.0000,4.2513
cobalt alloy (Co64 Cr30 W6),12.5520,3.5600,418,3.5280,6658.0000,8440.0000,48.1289,42.5133,158,301.2480,2542533.1200,12807.0484
cobalt alloy (Co64 Cr30 W6),12.5520,3.5600,418,3.5280,6658.0000,8440.0000,48.1289,42.5133,158,209.2000,1765648.0000,8893.7836
steel stainless series 400,23.4300,7.0100,431,3.3400,8847.0000,7750.0000,46.3818,30.7595,713,0.0100,77.5000,0.3076
steel stainless series 400,23.4300,7.0100,431,3.3400,8847.0000,7750.0000,46.3818,30.7595,713,0.0325,251.8750,0.9997
steel stainless series 400,23.4300,7.0100,431,3.3400,8847.0000,7750.0000,46.3818,30.7595,713,0.0550,426.2500,1.6918
steel stainless series 400,23.4300,7.0100,431,3.3400,8847.0000,7750.0000,46.3818,30.7595,713,0.0775,600.6250,2.3839
steel stainless series 400,23.4300,7.0100,431,3.3400,8847.0000,7750.0000,46.3818,30.7595,713,0.1000,775.0000,3.0760
steel stainless series 400,23.4300,7.0100,431,3.3400,8847.0000,7750.0000,46.3818,30.7595,713,562.3200,4357980.0000,17296.6938
steel stainless series 400,23.4300,7.0100,431,3.3400,8847.0000,7750.0000,46.3818,30.7595,713,390.5000,3026375.0000,12011.5930
brass aluminum (Cu76 Zn22 Al2),100.4200,31.0000,377,3.2420,18034.0000,8600.0000,36.8055,45.9489,97,0.0100,86.0000,0.4595
brass aluminum (Cu76 Zn22 Al2),100.4200,31.0000,377,3.2420,18034.0000,8600.0000,36.8055,45.9489,97,0.0325,279.5000,1.4933
brass aluminum (Cu76 Zn22 Al2),100.4200,31.0000,377,3.2420,18034.0000,8600.0000,36.8055,45.9489,97,0.0550,473.0000,2.5272
brass aluminum (Cu76 Zn22 Al2),100.4200,31.0000,377,3.2420,18034.0000,8600.0000,36.8055,45.9489,97,0.0775,666.5000,3.5610
brass aluminum (Cu76 Zn22 Al2),100.4200,31.0000,377,3.2420,18034.0000,8600.0000,36.8055,45.9489,97,0.1000,860.0000,4.5949
brass aluminum (Cu76 Zn22 Al2),100.4200,31.0000,377,3.2420,18034.0000,8600.0000,36.8055,45.9489,97,2410.0800,20726688.0000,110740.4116
brass aluminum (Cu76 Zn22 Al2),100.4200,31.0000,377,3.2420,18034.0000,8600.0000,36.8055,45.9489,97,1673.6667,14393533.3333,76903.0636
aluminum alloy (Al84.0 average trtmt),125.5200,52.9000,879,2.3730,17256.0000,2700.0000,62.0166,64.7576,23,0.0100,27.0000,0.6476
aluminum alloy (Al84.0 average trtmt),125.5200,52.9000,879,2.3730,17256.0000,2700.0000,62.0166,64.7576,23,0.0325,87.7500,2.1046
aluminum alloy (Al84.0 average trtmt),125.5200,52.9000,879,2.3730,17256.0000,2700.0000,62.0166,64.7576,23,0.0550,148.5000,3.5617
aluminum alloy (Al84.0 average trtmt),125.5200,52.9000,879,2.3730,17256.0000,2700.0000,62.0166,64.7576,23,0.0775,209.2500,5.0187
aluminum alloy (Al84.0 average trtmt),125.5200,52.9000,879,2.3730,17256.0000,2700.0000,62.0166,64.7576,23,0.1000,270.0000,6.4758
aluminum alloy (Al84.0 average trtmt),125.5200,52.9000,879,2.3730,17256.0000,2700.0000,62.0166,64.7576,23,3012.4800,8133696.0000,195080.8845
aluminum alloy (Al84.0 average trtmt),125.5200,52.9000,879,2.3730,17256.0000,2700.0000,62.0166,64.7576,23,2092.0000,5648400.0000,135472.8364
plutonium phosphide (PuP) (90 pc dense),5.4390,2.3900,230,2.2750,3518.0000,9890.0000,56.1511,45.2849,550,0.0100,98.9000,0.4528
plutonium phosphide (PuP) (90 pc dense),5.4390,2.3900,230,2.2750,3518.0000,9890.0000,56.1511,45.2849,550,0.0325,321.4250,1.4718
plutonium phosphide (PuP) (90 pc dense),5.4390,2.3900,230,2.2750,3518.0000,9890.0000,56.1511,45.2849,550,0.0550,543.9500,2.4907
plutonium phosphide (PuP) (90 pc dense),5.4390,2.3900,230,2.2750,3518.0000,9890.0000,56.1511,45.2849,550,0.0775,766.4750,3.5096
plutonium phosphide (PuP) (90 pc dense),5.4390,2.3900,230,2.2750,3518.0000,9890.0000,56.1511,45.2849,550,0.1000,989.0000,4.5285
plutonium phosphide (PuP) (90 pc dense),5.4390,2.3900,230,2.2750,3518.0000,9890.0000,56.1511,45.2849,550,130.5360,1291001.0400,5911.3113
plutonium phosphide (PuP) (90 pc dense),5.4390,2.3900,230,2.2750,3518.0000,9890.0000,56.1511,45.2849,550,90.6500,896528.5000,4105.0773
aluminum alloy (Al98.0 average trtmt),188.2800,79.4000,879,2.3730,21134.0000,2700.0000,63.5709,65.5277,31,0.0100,27.0000,0.6553
aluminum alloy (Al98.0 average trtmt),188.2800,79.4000,879,2.3730,21134.0000,2700.0000,63.5709,65.5277,31,0.0325,87.7500,2.1297
aluminum alloy (Al98.0 average trtmt),188.2800,79.4000,879,2.3730,21134.0000,2700.0000,63.5709,65.5277,31,0.0550,148.5000,3.6040
aluminum alloy (Al98.0 average trtmt),188.2800,79.4000,879,2.3730,21134.0000,2700.0000,63.5709,65.5277,31,0.0775,209.2500,5.0784
aluminum alloy (Al98.0 average trtmt),188.2800,79.4000,879,2.3730,21134.0000,2700.0000,63.5709,65.5277,31,0.1000,270.0000,6.5528
aluminum alloy (Al98.0 average trtmt),188.2800,79.4000,879,2.3730,21134.0000,2700.0000,63.5709,65.5277,31,4518.7200,12200544.0000,296101.3737
aluminum alloy (Al98.0 average trtmt),188.2800,79.4000,879,2.3730,21134.0000,2700.0000,63.5709,65.5277,31,3138.0000,8472600.0000,205625.9540
norway pine wood (across grain),0.1510,0.1200,2301,1.2660,437.0000,550.0000,54.6009,60.9617,515,0.0100,5.5000,0.6096
norway pine wood (across grain),0.1510,0.1200,2301,1.2660,437.0000,550.0000,54.6009,60.9617,515,0.0325,17.8750,1.9813
norway pine wood (across grain),0.1510,0.1200,2301,1.2660,437.0000,550.0000,54.6009,60.9617,515,0.0550,30.2500,3.3529
norway pine wood (across grain),0.1510,0.1200,2301,1.2660,437.0000,550.0000,54.6009,60.9617,515,0.0775,42.6250,4.7245
norway pine wood (across grain),0.1510,0.1200,2301,1.2660,437.0000,550.0000,54.6009,60.9617,515,0.1000,55.0000,6.0962
norway pine wood (across grain),0.1510,0.1200,2301,1.2660,437.0000,550.0000,54.6009,60.9617,515,3.6240,1993.2000,220.9251
norway pine wood (across grain),0.1510,0.1200,2301,1.2660,437.0000,550.0000,54.6009,60.9617,515,2.5167,1384.1667,153.4202
iron ni-resist type 3 (cast),39.3300,11.6000,460,3.4040,11573.0000,7400.0000,47.9597,19.5864,294,0.0100,74.0000,0.1959
iron ni-resist type 3 (cast),39.3300,11.6000,460,3.4040,11573.0000,7400.0000,47.9597,19.5864,294,0.0325,240.5000,0.6366
iron ni-resist type 3 (cast),39.3300,11.6000,460,3.4040,11573.0000,7400.0000,47.9597,19.5864,294,0.0550,407.0000,1.0773
iron ni-resist type 3 (cast),39.3300,11.6000,460,3.4040,11573.0000,7400.0000,47.9597,19.5864,294,0.0775,573.5000,1.5179
iron ni-resist type 3 (cast),39.3300,11.6000,460,3.4040,11573.0000,7400.0000,47.9597,19.5864,294,0.1000,740.0000,1.9586
iron ni-resist type 3 (cast),39.3300,11.6000,460,3.4040,11573.0000,7400.0000,47.9597,19.5864,294,943.9200,6985008.0000,18488.0192
iron ni-resist type 3 (cast),39.3300,11.6000,460,3.4040,11573.0000,7400.0000,47.9597,19.5864,294,655.5000,4850700.0000,12838.9022
brass cartridge (Cu70 Zn30),100.4200,28.0000,418,3.5820,18976.0000,8570.0000,31.1209,43.3964,98,0.0100,85.7000,0.4340
brass cartridge (Cu70 Zn30),100.4200,28.0000,418,3.5820,18976.0000,8570.0000,31.1209,43.3964,98,0.0325,278.5250,1.4104
brass cartridge (Cu70 Zn30),100.4200,28.0000,418,3.5820,18976.0000,8570.0000,31.1209,43.3964,98,0.0550,471.3500,2.3868
brass cartridge (Cu70 Zn30),100.4200,28.0000,418,3.5820,18976.0000,8570.0000,31.1209,43.3964,98,0.0775,664.1750,3.3632
brass cartridge (Cu70 Zn30),100.4200,28.0000,418,3.5820,18976.0000,8570.0000,31.1209,43.3964,98,0.1000,857.0000,4.3396
